task_id,baseline_start,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,task_name,total_cost
C2012-08_218,2013-05-27T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 2,242736.39
C2012-08_219,2013-05-31T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 3,242736.39
C2012-08_220,2013-06-04T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 4,242736.39
C2012-08_221,2013-06-08T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 5,242736.39
C2012-08_222,2013-06-13T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 6,242736.39
C2012-08_223,2013-06-17T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 7,242736.39
C2012-08_224,2013-06-21T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 8,242736.39
C2012-08_225,2013-06-25T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 9,242736.39
C2012-08_226,2013-06-29T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 10,242736.39
C2012-08_227,2013-07-03T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 11,242736.39
C2012-08_228,2013-07-07T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 12,242736.39
C2012-08_229,2013-07-11T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 13,242736.39
C2012-08_230,2013-07-15T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 14,242736.39
C2012-08_231,2013-07-19T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 15,242736.39
C2012-08_232,2013-07-23T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 16,242736.39
C2012-08_233,2013-07-27T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 17,242736.39
C2012-08_234,2013-07-31T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 18,242736.39
C2012-08_235,2013-08-04T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 19,242736.39
C2012-08_236,2013-08-08T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 20,242736.39
C2012-08_237,2013-08-16T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 21,242736.39
C2012-08_238,2013-08-12T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 22,242736.39
C2012-08_239,2013-08-20T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 23,242736.39
C2012-08_240,2013-08-24T06:00:00+00:00,16.0,27840.0,63000.0,53120.0,13280.0,4796.88,4940.79,3293.86,1646.93,1646.93,823.46,2470.39,0.0,3293.86,3293.86,1646.93,1646.93,2470.39,1646.93,4117.32,3293.86,2470.39,1646.93,2470.39,4117.32,3293.86,4117.32,1646.93,823.46,2470.39,1646.93,3293.86,1646.93,3293.86,3293.86,2470.39,2470.39,1646.93,1646.93,Dredging and cleaning of pin-piles 24,242736.39
C2012-08_241,2013-05-24T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 1,225005.31
C2012-08_242,2013-05-28T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 2,225005.31
C2012-08_243,2013-06-01T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 3,225005.31
C2012-08_244,2013-06-05T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 4,225005.31
C2012-08_245,2013-06-10T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 5,225005.31
C2012-08_246,2013-06-14T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 6,225005.31
C2012-08_247,2013-06-18T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 7,225005.31
C2012-08_248,2013-06-22T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 8,225005.31
C2012-08_249,2013-06-26T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 9,225005.31
C2012-08_250,2013-06-30T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 10,225005.31
C2012-08_251,2013-07-04T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 11,225005.31
C2012-08_252,2013-07-08T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 12,225005.31
C2012-08_253,2013-07-12T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 13,225005.31
C2012-08_254,2013-07-16T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 14,225005.31
C2012-08_255,2013-07-20T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 15,225005.31
C2012-08_256,2013-07-24T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 16,225005.31
C2012-08_257,2013-07-28T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 17,225005.31
C2012-08_258,2013-08-01T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 18,225005.31
C2012-08_259,2013-08-05T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 19,225005.31
C2012-08_260,2013-08-09T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 20,225005.31
C2012-08_261,2013-08-17T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 21,225005.31
C2012-08_262,2013-08-13T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 22,225005.31
C2012-08_263,2013-08-21T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 23,225005.31
C2012-08_264,2013-08-25T06:00:00+00:00,16.0,29120.0,52600.0,51200.0,12800.0,4448.4,4581.85,3054.57,1527.28,1527.28,763.64,2290.93,0.0,3054.57,3054.57,1527.28,1527.28,2290.93,1527.28,3818.21,3054.57,2290.93,1527.28,2290.93,3818.21,3054.57,3818.21,1527.28,763.64,2290.93,1527.28,3054.57,1527.28,3054.57,3054.57,2290.93,2290.93,1527.28,1527.28,Install pin-pile covers on the piles 24,225005.31
C2012-08_21,2013-02-04T06:00:00+00:00,1920.0,0.0,80000.0,0.0,0.0,2448.0,2521.44,1680.96,840.48,840.48,420.24,1260.72,0.0,1680.96,1680.96,840.48,840.48,1260.72,840.48,2101.2,1680.96,1260.72,840.48,1260.72,2101.2,1680.96,2101.2,840.48,420.24,1260.72,840.48,1680.96,840.48,1680.96,1680.96,1260.72,1260.72,840.48,840.48,Purshase of tubulars,123631.52
C2012-08_23,2013-02-04T06:00:00+00:00,1920.0,0.0,150000.0,0.0,0.0,4590.0,4727.7,3151.8,1575.9,1575.9,787.95,2363.85,0.0,3151.8,3151.8,1575.9,1575.9,2363.85,1575.9,3939.75,3151.8,2363.85,1575.9,2363.85,3939.75,3151.8,3939.75,1575.9,787.95,2363.85,1575.9,3151.8,1575.9,3151.8,3151.8,2363.85,2363.85,1575.9,1575.9,Purchase of castings and pile stoppers,231809.1
C2012-08_25,2013-03-16T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 1,85151.18
C2012-08_337,2013-03-25T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 2,85151.18
C2012-08_338,2013-04-03T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 3,85151.18
C2012-08_339,2013-04-12T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 4,85151.18
C2012-08_340,2013-04-21T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 5,85151.18
C2012-08_341,2013-04-30T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 6,85151.18
C2012-08_342,2013-05-09T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 7,85151.18
C2012-08_343,2013-05-18T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 8,85151.18
C2012-08_344,2013-05-27T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 9,85151.18
C2012-08_345,2013-06-05T06:00:00+00:00,144.0,0.0,55100.0,0.0,0.0,1686.06,1736.64,1157.76,578.88,578.88,289.44,868.32,0.0,1157.76,1157.76,578.88,578.88,868.32,578.88,1447.2,1157.76,868.32,578.88,868.32,1447.2,1157.76,1447.2,578.88,289.44,868.32,578.88,1157.76,578.88,1157.76,1157.76,868.32,868.32,578.88,578.88,Assembly of midsection 10,85151.18
